gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,latitude,longitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,decimalLongitude.1,decimalLatitude.1
1.30960023798523e-314,2791b3c1-f3cb-40f1-a157-6df1d8b76872,PUJ:MPUJ_REPT:263,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Helicops,Helicops angulatus,,SPECIES,"Helicops angulatus (Linnaeus, 1758)",Helicops angulatus,"(Linnaeus, 1758)",CO,,Putumayo,PRESENT,NA,0e2f2e28-7790-4c82-b8fb-6ef7b4c764e2,0.438056,-76.784722,544,NA,306,0,NA,NA,,NA,NA,NA,2457699,2457699,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),MPUJ-REPT,263,,Acosta Andrés Rymel,,CC_BY_NC_4_0,,Gómez Fabio,,,2020-10-07T11:03:35.971Z,,COORDINATE_ROUNDED,-76.784722,0.438056
1.30960023502083e-314,2791b3c1-f3cb-40f1-a157-6df1d8b76872,PUJ:MPUJ_REPT:262,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Helicops,Helicops angulatus,,SPECIES,"Helicops angulatus (Linnaeus, 1758)",Helicops angulatus,"(Linnaeus, 1758)",CO,,Putumayo,PRESENT,NA,0e2f2e28-7790-4c82-b8fb-6ef7b4c764e2,0.438056,-76.784722,544,NA,306,0,NA,NA,,NA,NA,NA,2457699,2457699,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),MPUJ-REPT,262,,Acosta Andrés Rymel,,CC_BY_NC_4_0,,Gómez Fabio,,,2020-10-07T11:03:35.971Z,,COORDINATE_ROUNDED,-76.784722,0.438056
1.30960020636502e-314,2791b3c1-f3cb-40f1-a157-6df1d8b76872,PUJ:MPUJ_REPT:238,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Thamnodynastes,Thamnodynastes pallidus,,SPECIES,"Thamnodynastes pallidus (Linnaeus, 1758)",Thamnodynastes pallidus,"(Linnaeus, 1758)",CO,,Putumayo,PRESENT,NA,0e2f2e28-7790-4c82-b8fb-6ef7b4c764e2,0.405921,-76.908355,20677,NA,260,0,NA,NA,1996-04-30T00:00:00,30,4,1996,2454778,2454778,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),MPUJ-REPT,238,,,,CC_BY_NC_4_0,,Gómez Fabio,,,2020-10-07T11:03:35.967Z,,,-76.908355,0.405921
1.30497185077761e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/40753285,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis denticulatus,,SPECIES,"Chelonoidis denticulatus (Linnaeus, 1766)",Chelonoidis denticulatus,,PE,,Loreto,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.437333,-75.202139,31451,NA,NA,NA,NA,NA,2019-02-13T10:25:07,13,2,2019,5220281,5220281,HUMAN_OBSERVATION,iNaturalist,Observations,40753285,,Sal Scibetta,2020-03-26T14:04:37,CC_BY_NC_4_0,tsonkiri,tsonkiri,,,2020-10-18T15:11:20.352Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,-75.202139,-0.437333
1.30166810939591e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/47324430,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Erythrolamprus,Erythrolamprus aesculapii,,SPECIES,"Erythrolamprus aesculapii (Linnaeus, 1758)",Erythrolamprus aesculapii,,CO,,Putumayo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,0.508055,-76.481304,31,NA,NA,NA,NA,NA,2016-03-06T15:01:00,6,3,2016,2456090,2456090,HUMAN_OBSERVATION,iNaturalist,Observations,47324430,,Simon Ulloa Rengifo,,CC_BY_NC_4_0,Carlos Eduardo,Carlos Eduardo,,,2020-10-18T15:33:20.263Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,-76.481304,0.508055
1.30139558772632e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/47595450,Animalia,Chordata,Reptilia,Squamata,Hoplocercidae,Morunasaurus,Morunasaurus annularis,,SPECIES,"Morunasaurus annularis (O'shaughnessy, 1881)",Morunasaurus annularis,,CO,,Putumayo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,0.648244,-77.067479,NA,NA,NA,NA,NA,NA,2019-03-05T13:19:00,5,3,2019,2471885,2471885,HUMAN_OBSERVATION,iNaturalist,Observations,47595450,,Simon Ulloa Rengifo,2020-05-28T20:38:40,CC_BY_NC_4_0,Blair Dudeck,Blair Dudeck,,,2020-10-18T15:11:43.293Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,-77.067479,0.648244
1.29995011172386e-314,8c7b97ad-3d84-4793-ab27-f1faf41e1f20,IAvH:PEM-GTA:PUTUMAYO:ANIMALIA:OBSERVACIONCONMAQUINA:I2D-BIO_2020_014:0315,Animalia,Chordata,Reptilia,Squamata,Teiidae,Tupinambis,Tupinambis cuzcoensis,,SPECIES,"Tupinambis cuzcoensis Murphy, Jowers, Lehtinen, Charles, Colli, Peres, Hendry & Pyron, 2016",Tupinambis cuzcoensis,Murphy et al. 2016,CO,Platanillo,Putumayo,PRESENT,NA,2a7e3080-28a9-11dd-97cd-b8a03c50a862,0.48503,-76.29539,NA,NA,176,0,NA,NA,2019-09-05T00:00:00,5,9,2019,8740142,8740142,MACHINE_OBSERVATION,Instituto de Investigaci—n de Recursos Biol—gicos Alexander von Humboldt (IAvH),Instituto de Investigaci—n de Recursos Biol—gicos Alexander von Humboldt (IAvH),,Platanillo1_2178_09050017.JPG,Adriana Restrepo,2020-01-01T00:00:00,CC_BY_NC_4_0,,Adriana Restrepo,,,2020-09-01T13:16:55.550Z,,,-76.29539,0.48503
1.29891308917806e-314,b349f235-926d-43ff-b6f7-fc3c1928f581,urn:catalog:MVZ-UCB:MVZ:33698:17bb41e66ba44fe271699e3c1a46c2a6,Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,,SPECIES,"Boa constrictor Linnaeus, 1758",Boa constrictor,"Linnaeus, 1758",CO,near head Rio Putumayo,Putumayo,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,0.23696,-76.51766,NA,NA,0,0,0,0,,NA,NA,NA,2464899,2464899,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,33698,,"Museum of Vertebrate Zoology, University of California, Berkeley",,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),A. Hermida,,,2020-10-07T12:37:14.179Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,-76.51766,0.23696
1.29773423323105e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/45315665,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis ortonii,,SPECIES,"Anolis ortonii Cope, 1868",Anolis ortonii,,PE,,Loreto,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.100444,-75.167972,613,NA,NA,NA,NA,NA,2004-04-25T23:10:00,25,4,2004,2467651,2467651,HUMAN_OBSERVATION,iNaturalist,Observations,45315665,,Mario Humberto Yánez-Muñoz,2020-05-08T23:04:12,CC_BY_NC_4_0,Mario Humberto Yánez-Muñoz,Mario Humberto Yánez-Muñoz,,,2020-10-18T15:19:28.550Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,-75.167972,-0.100444
1.29760529790759e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/45315644,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrocophias,Bothrocophias hyoprora,,SPECIES,"Bothrocophias hyoprora (Amaral, 1935)",Bothrocophias hyoprora,,PE,,Loreto,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.100444,-75.167972,613,NA,NA,NA,NA,NA,2004-04-22T04:42:00,22,4,2004,2444964,2444964,HUMAN_OBSERVATION,iNaturalist,Observations,45315644,,Mario Humberto Yánez-Muñoz,2020-05-08T23:04:00,CC_BY_NC_4_0,Mario Humberto Yánez-Muñoz,Mario Humberto Yánez-Muñoz,,,2020-10-18T15:11:20.716Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,-75.167972,-0.100444
